Entity,Code,Year,Bovine_meat,Poultry_meat,Pigmeat,Mutton_Goat,Meat_Other,Total_population,TOTAL,Total_Meat_Consumption
China,CHN,2017,5.58,12.88,37.63,3.25,1.25,1421021952,60.59,86099720071.68001
"United States",USA,2017,37.08,55.68,30.02,0.51,0.81,325084992,124.1,40343047507.2
Brazil,BRA,2017,37.05,48.03,13.65,0.6,0.51,207834000,99.84,20750146560
Russia,RUS,2017,13.51,30.98,26.67,1.38,4.06,145530000,76.6,11147598000
Mexico,MEX,2017,14.18,32.52,16.67,0.85,0.65,124777000,64.87,8094283990.000001
Germany,DEU,2017,14.91,19.47,50.45,0.82,2.13,82658000,87.77999999999999,7255719239.999999
Japan,JPN,2017,9.19,18.5,21.39,0.15,0.1,127503000,49.33,6289722990
Vietnam,VNM,2017,12.89,12.33,37.74,0.19,0.18,94601000,63.33,5991081330
France,FRA,2017,23.15,22.9,32.78,2.84,1.37,64843000,83.04,5384562720
"United Kingdom",GBR,2017,17.8,31.94,24.71,4.26,1.19,66727000,79.9,5331487300
India,IND,2017,0.76,2.22,0.25,0.44,0.11,1338676992,3.7800000000000002,5060199029.76
Italy,ITA,2017,15.56,18.88,43.77,0.89,1.85,60674000,80.95,4911560300
Argentina,ARG,2017,54.16,42.24,10.7,1.28,1,43937000,109.38000000000001,4805829060
Spain,ESP,2017,12.74,30.39,53.62,1.94,1.56,46647000,100.25,4676361750
Philippines,PHL,2017,4.68,13.87,17.83,0.55,0.1,105173000,37.029999999999994,3894556189.9999995
"South Korea",KOR,2017,15.79,16.7,37.96,0.14,0.11,51096000,70.69999999999999,3612487199.9999995
Pakistan,PAK,2017,8.62,5.86,,2.3,0.08,207906000,16.86,3505295160
"South Africa",ZAF,2017,16.57,35.69,4.19,2.88,0.68,57010000,60.01,3421170100
Poland,POL,2017,3.25,30.3,55.01,0.03,0.1,37953000,88.69,3366051570
Turkey,TUR,2017,12.9,20.64,0,5.3,0.02,81116000,38.86,3152167760
Myanmar,MMR,2017,8.53,30.37,17.48,1.86,0,53383000,58.239999999999995,3109025919.9999995
Indonesia,IDN,2017,2.79,7.19,1.24,0.46,0.01,264651008,11.690000000000001,3093770283.5200005
Canada,CAN,2017,18.13,39.02,24.46,0.99,0.01,36732000,82.61000000000001,3034430520.0000005
Australia,AUS,2017,35.7,47.65,25.92,10.07,2.26,24585000,121.60000000000001,2989536000
Iran,IRN,2017,5.22,27.52,0,3.08,0.16,80674000,35.98,2902650519.9999995
